ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3111210.17981014	100.0	12.517857142857142	283.07142857142856	175.44642857142858	-206.73435594093135	0	44	100	22.0	620.0	392.0	100	7.0	96.0	60.0	0	0	5.135937213897705	100	5.135937213897705	56	43.99999999999999	
-2660121.135210136	100.0	11.892857142857142	259.5357142857143	160.73214285714286	-206.73435594093135	1	88	179	17.0	619.0	390.0	21	9.0	105.0	66.0	0	0	4.847808837890625	200	9.98374605178833	108	46.0	
-2030084.9115073376	98.25	12.387755102040817	276.83673469387753	171.91836734693877	-168.06875954430626	2	139	230	20.0	640.0	404.0	16	9.0	118.0	74.0	0	0	3.995063066482544	300	13.978809118270874	153	49.0	
-2290113.9957207195	103.04	12.53061224489796	307.85714285714283	191.20408163265307	-168.06875954430626	3	190	228	18.0	1043.0	657.0	18	9.0	122.0	76.0	0	0	3.791508913040161	400	17.770318031311035	198	50.5	
-2440114.063210568	99.57	11.245283018867925	232.83018867924528	143.9245283018868	-168.06875954430626	4	237	237	16.0	433.0	274.0	14	8.0	93.0	58.0	0	0	4.882171392440796	500	22.65248942375183	247	50.6	
-2040100.2246280985	90.37	11.904761904761905	267.7857142857143	165.5952380952381	-168.06875954430626	5	295	254	20.0	598.0	374.0	4	8.0	92.0	58.0	0	0	4.059260368347168	600	26.711749792099	285	52.5	
-2110053.1021961276	95.85	12.458333333333334	288.2291666666667	179.16666666666666	-135.15372516871005	6	347	254	21.0	778.0	488.0	2	9.0	142.0	87.0	0	0	3.3411877155303955	700	30.052937507629395	329	53.0	
-2290084.775573988	98.36	12.545454545454545	280.59090909090907	174.29545454545453	-135.15372516871005	7	403	269	23.0	681.0	427.0	4	8.0	103.0	64.0	0	0	3.7905757427215576	800	33.84351325035095	369	53.875	
-2500069.0178120257	112.6	12.173076923076923	281.90384615384613	174.57692307692307	-120.75619436497209	8	451	279	19.0	707.0	447.0	3	8.0	123.0	78.0	0	0	4.153375864028931	900	37.99688911437988	417	53.66666666666667	
-2260090.0151189966	126.54	12.581818181818182	308.3090909090909	190.96363636363637	-120.75619436497209	9	496	417	21.0	915.0	575.0	10	9.0	122.0	76.0	0	0	5.100863456726074	1000	43.09775257110596	468	53.199999999999996	
-2330087.659619135	127.49	12.793103448275861	343.3965517241379	213.6551724137931	-98.4253330707098	10	538	316	23.0	1367.0	864.0	12	7.0	103.0	64.0	0	0	5.8156585693359375	1100	48.913411140441895	522	52.54545454545455	
-2240137.7412341987	131.78	12.777777777777779	317.72222222222223	197.5	-98.4253330707098	11	584	348	19.0	884.0	560.0	10	8.0	93.0	58.0	0	0	4.314645290374756	1200	53.22805643081665	571	52.416666666666664	
