ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2316480.0676618316	100.0	11.44	339.24	204.96	-1341.4007102326632	0	55	100	17.0	543.0	325.0	100	9.0	189.0	114.0	0	0	3.0396907329559326	80	3.0396907329559326	25	68.75	
-1887529.2208107517	100.0	12.19047619047619	403.57142857142856	241.8095238095238	-316.17378337661097	1	113	187	18.0	813.0	493.0	13	8.0	183.0	111.0	0	0	2.1224985122680664	160	5.162189245223999	43	73.125	
-1512591.4963402764	101.6	12.928571428571429	455.7857142857143	275.67857142857144	-316.17378337661097	2	165	190	20.0	876.0	546.0	10	9.0	240.0	143.0	0	0	2.169219970703125	240	7.331409215927124	67	72.08333333333333	
-2600169.8992524846	104.6625	12.333333333333334	388.4	233.63333333333333	-316.17378337661097	3	215	190	18.0	693.0	428.0	33	8.0	186.0	113.0	0	0	4.054686069488525	320	11.38609528541565	93	70.9375	
-1887618.42005772	106.9	12.542857142857143	404.4	242.62857142857143	-290.0741569106194	4	260	245	17.0	666.0	406.0	5	9.0	240.0	144.0	0	0	3.8385565280914307	400	15.22465181350708	124	69.0	
-1962571.4706746757	99.8125	12.258064516129032	412.64516129032256	246.6451612903226	-290.0741569106194	5	309	176	20.0	984.0	599.0	5	9.0	174.0	107.0	0	0	2.940157413482666	480	18.164809226989746	151	68.54166666666667	
-1425070.1604469183	95.3875	12.214285714285714	404.67857142857144	241.89285714285714	-290.0741569106194	6	361	160	17.0	807.0	491.0	5	9.0	234.0	142.0	0	0	2.856912612915039	560	21.021721839904785	175	68.75	
-2375077.4163449006	92.65	11.777777777777779	381.25	227.0	-237.51131798220365	7	405	193	16.0	591.0	363.0	5	10.0	252.0	149.0	0	0	4.3194355964660645	640	25.34115743637085	207	67.65625	
-1600071.3706816565	90.9375	11.785714285714286	418.5	250.78571428571428	-237.51131798220365	8	457	190	17.0	1659.0	1037.0	5	10.0	261.0	158.0	0	0	3.3329596519470215	720	28.67411708831787	231	67.91666666666666	
-2037595.6546823792	92.075	11.4	357.825	212.55	-188.96597888682766	9	497	213	15.0	585.0	344.0	5	10.0	255.0	152.0	0	0	5.862166166305542	800	34.53628325462341	266	66.75	
