ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2600004.734372873	100.0	11.676470588235293	324.1764705882353	201.7058823529412	tensor(-1000000.)	0	66	100	16.0	689.0	432.0	100	9.0	152.0	95.0	0	0	52.35516595840454	100	52.35516595840454	34	66.0	
-1870010.137359286	100.0	13.06060606060606	409.3333333333333	254.21212121212122	-556.6080910918068	1	130	195	19.0	797.0	488.0	5	9.0	179.0	113.0	0	0	52.28919696807861	200	104.64436292648315	66	67.0	
-1550025.6406788093	100.64	13.363636363636363	423.77272727272725	262.3181818181818	-556.6080910918068	2	205	183	19.0	890.0	551.0	12	10.0	250.0	153.0	0	0	16.738334894180298	300	121.38269782066345	87	71.0	
-1780011.5493053647	101.89	13.666666666666666	424.4074074074074	263.0740740740741	-556.6080910918068	3	275	257	22.0	1119.0	700.0	8	9.0	195.0	120.0	0	0	25.262667179107666	400	146.64536499977112	113	71.75	
-2570034.896034281	101.57	12.676470588235293	394.5882352941176	245.85294117647058	-556.6080910918068	4	338	254	19.0	1225.0	775.0	13	9.0	169.0	105.0	0	0	69.66333317756653	500	216.30869817733765	146	70.8	
-1650011.507217236	98.92	13.620689655172415	439.9655172413793	274.82758620689657	-496.72318487923405	5	406	242	23.0	1035.0	652.0	16	10.0	188.0	116.0	0	0	31.173805475234985	600	247.48250365257263	174	71.0	
-1740011.6795913058	94.71	13.607142857142858	463.57142857142856	289.7857142857143	-496.72318487923405	6	476	433	21.0	1109.0	701.0	14	8.0	169.0	105.0	0	0	28.165233850479126	700	275.64773750305176	200	71.42857142857143	
-1730037.60487562	92.4	13.655172413793103	487.86206896551727	303.2758620689655	-496.72318487923405	7	545	426	23.0	1286.0	811.0	8	10.0	213.0	135.0	0	0	41.08982563018799	800	316.73756313323975	227	71.625	
-1710029.9429609496	101.96	13.333333333333334	462.14285714285717	285.76190476190476	-281.50434370200344	8	622	330	19.0	1374.0	845.0	8	8.0	140.0	87.0	0	0	42.149691581726074	900	358.8872547149658	246	72.66666666666667	
-1840027.0078683726	78.23	12.586206896551724	367.55172413793105	227.6551724137931	-281.50434370200344	9	692	250	19.0	656.0	405.0	5	8.0	187.0	117.0	0	0	79.09090042114258	1000	437.9781551361084	272	72.8	
-1710032.6344737422	70.26	12.28	344.44	214.16	-281.50434370200344	10	766	203	16.0	909.0	563.0	6	9.0	171.0	107.0	0	0	25.65394377708435	1100	463.63209891319275	294	73.27272727272728	
-1710028.9655014318	72.9	12.956521739130435	362.9130434782609	225.7826086956522	-281.50434370200344	11	842	261	24.0	980.0	623.0	8	9.0	162.0	101.0	0	0	49.44825744628906	1200	513.0803563594818	314	73.83333333333334	
-1750025.5619289714	68.7	12.6	370.8	230.3	-281.50434370200344	12	921	198	18.0	749.0	467.0	3	8.0	142.0	89.0	0	0	38.43431329727173	1300	551.5146696567535	331	74.53846153846153	
-1430025.0625077563	66.26	13.434782608695652	396.2173913043478	245.82608695652175	-237.82226688064017	13	997	189	27.0	795.0	500.0	3	9.0	253.0	156.0	0	0	24.71767520904541	1400	576.232344865799	351	74.92857142857143	
-1990019.1040891677	63.96	12.275862068965518	349.9655172413793	216.82758620689654	-237.82226688064017	14	1068	221	19.0	700.0	440.0	2	8.0	139.0	87.0	0	0	48.86129450798035	1500	625.0936393737793	376	74.93333333333334	
-1470025.527951581	65.98	13.043478260869565	367.2608695652174	227.82608695652175	-237.82226688064017	15	1145	215	21.0	1096.0	689.0	2	10.0	231.0	145.0	0	0	22.74757409095764	1600	647.8412134647369	395	75.3125	
-1630023.5843315022	78.41	13.607142857142858	433.7857142857143	268.2142857142857	-237.82226688064017	16	1217	309	23.0	1378.0	862.0	3	9.0	166.0	103.0	0	0	41.297818660736084	1700	689.139032125473	419	75.3529411764706	
-2200082.2210816233	67.31	11.521739130434783	297.30434782608694	183.43478260869566	-237.82226688064017	17	1294	216	20.0	662.0	408.0	6	9.0	168.0	105.0	0	0	65.97174286842346	1800	755.1107749938965	438	75.66666666666666	
-1500019.6165388739	65.77	12.61111111111111	349.72222222222223	216.33333333333334	-237.82226688064017	18	1376	230	19.0	572.0	349.0	7	8.0	156.0	97.0	0	0	31.382484436035156	1900	786.4932594299316	452	76.21052631578948	
-1630049.878179823	67.08	12.761904761904763	387.9047619047619	239.14285714285714	-237.82226688064017	19	1455	230	23.0	985.0	617.0	3	10.0	228.0	142.0	0	0	43.23392581939697	2000	829.7271852493286	469	76.55	
-1650036.641508755	75.56	12.692307692307692	368.7307692307692	228.42307692307693	-237.82226688064017	20	1529	258	17.0	701.0	445.0	7	8.0	140.0	87.0	0	0	62.05340313911438	2100	891.780588388443	491	76.61904761904762	
-1620016.733135633	83.11	12.555555555555555	384.1111111111111	237.14814814814815	-237.82226688064017	21	1602	246	17.0	727.0	459.0	10	8.0	198.0	122.0	0	0	32.57636046409607	2200	924.3569488525391	514	76.63636363636364	
-2370022.0069793873	84.74	12.419354838709678	327.96774193548384	201.96774193548387	-237.82226688064017	22	1671	196	17.0	532.0	335.0	9	8.0	154.0	97.0	0	0	81.81794881820679	2300	1006.1748976707458	541	76.47826086956522	
-1620013.8575718093	93.36	13.0	412.44117647058823	256.38235294117646	-237.82226688064017	23	1737	259	21.0	1005.0	629.0	6	8.0	195.0	120.0	0	0	43.24772930145264	2400	1049.4226269721985	571	76.20833333333333	
-1590040.3802928203	89.65	12.68	391.48	242.88	-237.82226688064017	24	1812	205	18.0	1113.0	703.0	11	9.0	204.0	129.0	0	0	61.42804193496704	2500	1110.8506689071655	592	76.32	
-1710028.1090545037	83.04	12.379310344827585	382.2413793103448	235.79310344827587	-237.82226688064017	25	1883	295	19.0	921.0	554.0	10	9.0	167.0	105.0	0	0	45.04214572906494	2600	1155.8928146362305	617	76.26923076923077	
-1640065.7811015865	89.66	12.794117647058824	384.52941176470586	238.55882352941177	-237.82226688064017	26	1949	274	18.0	925.0	581.0	8	10.0	172.0	107.0	0	0	65.31997418403625	2700	1221.2127888202667	647	76.03703703703704	
-2570043.6569619235	93.59	12.65	338.725	209.625	-228.2364653575321	27	2009	278	22.0	686.0	423.0	10	9.0	156.0	97.0	0	0	92.498943567276	2800	1313.7117323875427	683	75.60714285714286	
-2110016.679018693	91.27	12.833333333333334	400.5	247.36111111111111	-228.2364653575321	28	2073	198	19.0	692.0	432.0	11	9.0	174.0	109.0	0	0	63.82929468154907	2900	1377.5410270690918	715	75.34482758620689	
-2250030.790175286	86.72	12.771428571428572	378.9714285714286	234.45714285714286	-228.2364653575321	29	2138	221	19.0	1014.0	638.0	8	10.0	192.0	121.0	0	0	113.29005575180054	3000	1490.8310828208923	746	75.13333333333333	
-1320026.3418315211	72.08	12.588235294117647	359.94117647058823	223.58823529411765	-228.2364653575321	30	2221	196	17.0	635.0	401.0	9	10.0	222.0	139.0	0	0	15.170830011367798	3100	1506.0019128322601	759	75.51612903225806	
-1590025.7744255757	67.86	11.142857142857142	337.07142857142856	205.85714285714286	-228.2364653575321	31	2307	214	17.0	613.0	384.0	2	9.0	181.0	113.0	0	0	61.95714211463928	3200	1567.9590549468994	769	75.96875	
-1790021.21674138	59.34	11.375	305.1875	187.3125	-228.2364653575321	32	2391	174	18.0	582.0	365.0	12	8.0	130.0	81.0	0	0	46.44728326797485	3300	1614.4063382148743	781	76.33333333333333	
-1620024.549000478	55.37	11.588235294117647	342.1764705882353	211.05882352941177	-228.2364653575321	33	2474	159	15.0	512.0	318.0	9	9.0	181.0	113.0	0	0	34.46010947227478	3400	1648.866447687149	794	76.64705882352942	
-1840026.5966738248	58.34	11.45	306.65	188.75	-228.2364653575321	34	2554	178	15.0	515.0	312.0	3	8.0	160.0	99.0	0	0	48.616947650909424	3500	1697.4833953380585	810	76.85714285714286	
-1320016.217984488	62.09	11.95	389.5	240.35	-228.2364653575321	35	2634	174	17.0	993.0	627.0	3	9.0	165.0	103.0	0	0	43.64761400222778	3600	1741.1310093402863	826	77.05555555555556	
-1870017.969548371	64.79	11.25	327.0357142857143	200.67857142857142	-228.2364653575321	36	2706	148	15.0	532.0	335.0	2	8.0	142.0	89.0	0	0	55.469951152801514	3700	1796.6009604930878	850	77.02702702702703	
-1670032.9876899945	70.54	11.764705882352942	390.70588235294116	239.41176470588235	-227.32480615827228	37	2772	176	18.0	659.0	415.0	9	9.0	200.0	124.0	0	0	89.6230320930481	3800	1886.2239925861359	880	76.84210526315789	
-2120018.446081324	77.24	12.41025641025641	409.3076923076923	252.2051282051282	-227.32480615827228	38	2833	230	19.0	811.0	515.0	4	8.0	163.0	100.0	0	0	68.51687216758728	3900	1954.7408647537231	915	76.53846153846155	
-1800035.781235239	70.06	11.733333333333333	357.8666666666667	220.56666666666666	-227.32480615827228	39	2903	201	16.0	700.0	436.0	2	9.0	159.0	99.0	0	0	50.287522077560425	4000	2005.0283868312836	941	76.475	
-1690054.4585119819	67.89	11.466666666666667	362.96666666666664	223.0	-227.32480615827228	40	2973	228	16.0	828.0	504.0	7	8.0	153.0	95.0	0	0	44.522544145584106	4100	2049.5509309768677	967	76.41463414634146	
-1440046.0075860878	66.23	11.791666666666666	353.5	216.70833333333334	-227.32480615827228	41	3049	185	18.0	535.0	314.0	6	8.0	173.0	106.0	0	0	34.612616539001465	4200	2084.163547515869	987	76.5	
-1500013.9716788179	57.87	11.5	373.0	228.25	-227.32480615827228	42	3133	166	15.0	520.0	323.0	6	9.0	182.0	112.0	0	0	34.57923722267151	4300	2118.7427847385406	999	76.76744186046511	
-1790015.8563177693	63.97	12.375	373.0	228.95833333333334	-225.39594547001587	43	3209	166	20.0	743.0	467.0	7	9.0	183.0	115.0	0	0	32.83954620361328	4400	2151.582330942154	1019	76.8409090909091	
-1540015.2689305365	65.42	12.125	341.5833333333333	210.54166666666666	-225.39594547001587	44	3285	143	19.0	499.0	315.0	10	10.0	187.0	117.0	0	0	38.82719707489014	4500	2190.409528017044	1039	76.91111111111111	
